Year,Season,latitude,longitude,Hujan
1985,AMJ,-10.0,121.5,61.53846153846154
1985,AMJ,-10.0,121.75,68.13186813186813
1985,AMJ,-10.0,122.0,63.73626373626373
1985,AMJ,-10.0,122.25,59.34065934065934
1985,AMJ,-10.0,122.5,53.84615384615385
1985,AMJ,-10.0,122.75,38.46153846153847
1985,AMJ,-10.0,123.0,30.76923076923077
1985,AMJ,-10.0,123.25,30.76923076923077
1985,AMJ,-10.0,123.5,27.472527472527474
1985,AMJ,-10.0,123.75,36.26373626373626
1985,AMJ,-10.0,124.0,39.56043956043956
1985,AMJ,-10.0,124.25,56.043956043956044
1985,AMJ,-10.0,124.5,58.24175824175825
1985,AMJ,-10.0,124.75,70.32967032967034
1985,AMJ,-10.0,125.0,80.21978021978022
1985,AMJ,-10.0,125.25,72.52747252747253
1985,AMJ,-10.0,125.5,65.93406593406593
1985,AMJ,-9.75,118.0,64.83516483516483
1985,AMJ,-9.75,118.25,61.53846153846154
1985,AMJ,-9.75,118.5,54.94505494505495
1985,AMJ,-9.75,118.75,47.25274725274725
1985,AMJ,-9.75,119.0,48.35164835164835
1985,AMJ,-9.75,119.25,45.05494505494506
1985,AMJ,-9.75,119.5,47.25274725274725
1985,AMJ,-9.75,119.75,54.94505494505495
1985,AMJ,-9.75,120.0,64.83516483516483
1985,AMJ,-9.75,120.25,80.21978021978022
1985,AMJ,-9.75,120.5,87.91208791208791
1985,AMJ,-9.75,120.75,80.21978021978022
1985,AMJ,-9.75,121.0,81.31868131868131
1985,AMJ,-9.75,121.25,70.32967032967034
1985,AMJ,-9.75,121.5,67.03296703296702
1985,AMJ,-9.75,121.75,67.03296703296702
1985,AMJ,-9.75,122.0,67.03296703296702
1985,AMJ,-9.75,122.25,60.43956043956044
1985,AMJ,-9.75,122.5,54.94505494505495
1985,AMJ,-9.75,122.75,45.05494505494506
1985,AMJ,-9.75,123.0,45.05494505494506
1985,AMJ,-9.75,123.25,35.16483516483517
1985,AMJ,-9.75,123.5,28.57142857142857
